Time,Latitude,Longitude,Course,Speed,Altitude,Humidity,Temperature,Pressure,roll,pitch,yaw,x,y,z,Speed
12:51:49,37.07545971,-87.7211044,236,58,14675.00,0,14.08,143.34,358.81,344.18,107.29,-29.12,-12.9,-5.29,50.004
12:52:21,37.07545971,-87.7211044,237,59,14675.00,0,12.99,135.17,29.64,357.18,153.34,-28.53,-29.17,-7.23,50.004
12:53:50,37.07037546,-87.70631685,238,60,15314.00,0,11.88,128.03,24.67,19.29,288.13,-14.1,-17.48,-11.52,38.892
12:55:00,,,239,61,15943.00,0,10.92,121.32,343.85,12.98,333.2,-34.39,-35.77,-11.31,31.484
12:55:50,37.0675989,-87.6917033,240,62,15943.00,0,9.97,114.9,14.65,347.41,149.93,-25.25,-19.74,-5.15,31.484
12:57:00,,,241,63,16605.00,0,9.2,108.82,15.63,16.67,281.91,-38.46,-25.8,-9.68,12.964
12:57:50,37.06086081,-87.67969414,242,64,16605.00,0,8.63,102.77,48.87,23.75,292.16,-38.74,-13.34,-6.6,12.964
12:59:00,,,243,65,17222.00,0,7.64,96.8,23.34,12.79,120.08,-20.71,-25.95,-10.45,37.04
12:59:50,37.05994505,-87.67006227,244,66,17222.00,0,7,91.57,321.39,11.63,155.22,-16.98,-26.65,-8.85,37.04
13:01:00,,,245,67,17870.00,0,6.32,86.9,332.96,334.26,262.33,-21.81,-37.78,-8.67,27.78
13:01:50,37.06008425,-87.66112088,246,68,17870.00,0,5.55,82.16,335.95,11.54,320.08,-35.35,-23.98,-6.76,27.78
13:02:23,37.06008425,-87.66112088,247,69,17870.00,0,5.09,77.42,348.5,355.48,54.49,-9.25,-13.05,-8.86,27.78
13:03:50,37.06244872,-87.6597033,248,70,18504.00,0,4.77,73.09,37.83,349.17,168.58,-30.34,-18.11,-7.07,18.52
13:05:00,,,250,72,19161.00,0,4.39,69.21,355.11,4.86,125.78,-35.45,-7.11,-6.1,12.964
13:05:50,37.06069963,-87.65628022,251,73,19161.00,0,3.84,65.39,18.79,58.32,350.06,-31.78,-10.3,-5.23,12.964
13:07:00,,,253,75,19787.00,0,3.55,61.75,327.6,33.46,231.62,-43.87,-29.52,-11.42,22.224
13:07:50,37.06546337,-87.65890476,254,76,19787.00,0,3.39,58.42,348.64,10.65,100.1,-50.05,-29.16,-14.06,22.224
13:08:24,37.06546337,-87.65890476,256,78,19787.00,0,3.21,55.38,0.82,41.64,332.04,-54.53,-14.64,-11.83,22.224
13:09:50,37.06488828,-87.65923077,258,80,20418.00,0,3.01,52.51,348.58,353.44,135.57,-46.22,-7.25,-9.75,27.78
13:11:00,,,260,82,21073.00,0,2.91,49.46,357,0.38,331.62,-11.51,-8.04,-6.6,35.188
13:11:50,37.06091392,-87.6624304,261,83,21073.00,0,2.87,46.39,352.2,343.12,94.61,-35.53,-20.02,-3.93,35.188
13:13:00,,,263,85,21728.00,0,2.8,43.74,347.87,350.77,289.61,-11.47,-32.86,-7.97,14.816
13:13:50,37.05857509,-87.67204945,264,86,21728.00,0,2.66,41.3,25.93,348.53,223.92,-38.78,-20.45,-4.17,14.816
13:14:26,37.05857509,-87.67204945,266,88,21728.00,0,2.71,38.92,10.58,356.92,113.64,-24.39,-31.5,-4.9,14.816
13:15:07,37.05857509,-87.67204945,268,90,21728.00,0,2.57,36.62,347.74,6.64,227.01,-32.59,-34.59,-7.23,14.816
13:17:00,,,271,93,23016.00,0,2.66,34.55,349,352.62,234.16,-16.26,-17.81,-5.48,22.224
13:17:50,37.05807692,-87.69294872,272,94,23016.00,0,2.58,32.65,338.83,357.1,58.23,-38.16,-27.37,-7.01,22.224
13:18:31,37.05825092,-87.68180769,274,96,22391.00,0,2.71,30.78,339.34,344.15,50.38,-35.88,-21.26,-2.68,40.744
13:19:50,37.06074908,-87.70534432,277,99,23715.00,0,2.62,28.84,352.32,4.01,91.36,-26.01,-12.82,-7.83,7.408
13:20:00,,,278,100,23715,,,,,,,,,,
13:20:34,37.06074908,-87.70534432,279,101,23715.00,0,2.67,27,329.7,11.74,348.21,-46.27,-20.53,-10.14,7.408
13:21:00,,,280,102,23715,,,,,,,,,,
13:21:51,37.0639304,-87.71737912,281,103,24342.00,0,2.82,25.44,332.78,5.92,322.25,-37.09,-23.25,-5.71,31.484
13:22:00,,,282,104,24342,,,,,,,,,,
13:23:00,,,283,105,25031.00,0,2.91,24,339.51,346.03,250.78,-44.38,-27.85,-5.78,31.484
13:23:51,37.06339927,-87.72987912,284,106,25031.00,0,2.92,22.31,348.76,7.97,175.22,-31.2,-10.25,-7.33,31.484
13:23:51,37.0639304,-87.71737912,285,107,25031,,,,,,,,,,
13:24:00,,,286,108,24342,,,,,,,,,,
13:25:00,,,287,109,25726.00,0,2.98,20.84,12.03,345.1,233.59,-15.21,-39.02,-5.51,48.152
13:25:51,37.0626685,-87.74344689,288,110,25726.00,0,3.05,19.46,347.26,8.38,153.89,-42.13,-27.7,-5.25,48.152
13:26:00,,,289,111,25726,,,,,,,,,,
